ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ARISTON,14,386,Single,Italy,False,,,,LBF51,AS/NZS 2007.1:2005,2.554,2.5,0.0,3.5,Eco Program,163.0,"Australia,New Zealand",3.1,42106,Approved,15.6,Freestanding,False,,2014-01-28,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ARISTON,14,386,Single,Italy,False,,,,LBF 51 X,AS/NZS 2007.1:2005,2.554,2.5,0.0,3.5,Eco Program,163.0,"Australia,New Zealand",3.1,42106,Approved,15.6,Freestanding,False,,2014-01-28,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,INDESIT,14,386,Single,"Italy,Poland",False,,,,DFG 261 S,AS/NZS 2007.1:2005,2.554,2.5,0.0,3.5,Eco Program,163.0,"Australia,New Zealand",3.1,45364,Approved,15.6,Freestanding,False,,2014-10-15,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,INDESIT,14,386,Single,"Italy,Poland",False,,,,DFG 261,AS/NZS 2007.1:2005,2.554,2.5,0.0,3.5,Eco Program,163.0,"Australia,New Zealand",3.1,45364,Approved,15.6,Freestanding,False,,2014-10-15,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,GIANNI,12,277,Single,China,True,,,,ADI60S,AS/NZS 2007.1:2005,3.06268,3.0,0.0,2.3,Normal,129.0,"Australia,Fiji,New Zealand",0.2927,59327,Approved,14.1,Freestanding,False,,2016-07-17,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,311,Single,China,False,,,,DW400XA-1,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,42394,Approved,12.0,Freestanding,False,,2014-01-18,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,311,Single,China,False,,,,PL401XA-1,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,42394,Approved,12.0,Freestanding,False,,2014-01-18,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,311,Single,China,False,,,,DW401WA-1,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,42394,Approved,12.0,Freestanding,False,,2014-01-18,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,311,Single,China,False,,,,DW401XA-1,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,42394,Approved,12.0,Freestanding,False,,2014-01-18,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,MOMI,12,327,Single,China,True,598.0,845.0,IEC,MKD12W,AS/NZS 2007.1:2005,2.58729257387,2.5,0.0,0.39,Normal,140.0,"Australia,Fiji,New Zealand",0.2,65399,Approved,10.5,Freestanding,False,600.0,2017-05-22,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,MOMI,12,327,Single,China,True,598.0,845.0,IEC,MKD12S,AS/NZS 2007.1:2005,2.58729257387,2.5,0.0,0.39,Normal,140.0,"Australia,Fiji,New Zealand",0.2,65399,Approved,10.5,Freestanding,False,600.0,2017-05-22,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,EURO,12,311,Single,China,False,,,,ED12GWA,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,52321,Approved,12.0,Freestanding,False,,2015-07-25,,
