ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class
AS/NZS 2442.2:2000/Amdt 2:2007,LG,10,False,Autosensing,"""Korea, Republic of""",,,Each individual model number listed above,TD-V1000S,AS/NZS 2442.1:1996,444,2.0894,2.0,Normal,137.0,"Australia,New Zealand",Approved,39283,7.937,,Vented,,2013-09-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,Haier,5,,Timer,China,,,Each individual model number listed above,GDZ5-1,AS/NZS 2442.1:1996,251,1.334,1.0,COTTON 150 MINUTES,150.0,"Australia,New Zealand",Expired,20583,3.902,,Vented,,2010-06-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,WESTINGHOUSE,5,,Autosensing,Australia,,,Each individual model number listed above,LD515,AS/NZS 2442.1:1996,232,1.818,1.5,"Sensordry, Normal Setting",155.0,"Australia,New Zealand",Expired,20559,3.987,,Vented,,2010-05-20,,
AS/NZS 2442.2:2000/Amdt 2:2007,CONIA,4.5,False,Timer,China,,,Each individual model number listed above,CCD4501,AS/NZS 2442.1:1996,221,1.478,1.0,Cotton 150 min,150.0,"Australia,New Zealand",Expired,22751,3.513,,Vented,,2010-10-13,,
AS/NZS 2442.2:2000/Amdt 2:2007,SAMSUNG ELECTRONICS,6,True,Autosensing,"""Korea, Republic of""",,,Each individual model number listed above,WD8122CVB,AS/NZS 2442.1:1996,265,2.1218,2.0,Normal Dry,239.0,"Australia,New Zealand",Approved,38707,4.891,64.11,Condenser,,2013-06-22,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,7.5,True,Autosensing,"""Korea, Republic of""",767.0,982.0,,WD12585FD6,AS/NZS 2442.1:1996/Amdt 4:2006,311,2.50999039111,2.5,Eco,318.0,"Australia,New Zealand",Approved,66620,6.047,33.15,Condenser,686.0,2017-07-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,OMEGA,5,True,Autosensing,"""Korea, Republic of""",765.0,1020.0,single,WD9500,AS/NZS 2442.1:1996,203,2.6252,2.5,Very,224.0,"Australia,New Zealand",Expired,29229,4.102,34.08,Condenser,686.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4,True,Autosensing,"""Korea, Republic of""",850.0,850.0,Each individual model number listed above,WD-1438RD,AS/NZS 2442.1:1996,174,2.2154,2.0,Dry More,236.0,"Australia,New Zealand",Expired,29052,3.169,58.0,Condenser,600.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4,True,Autosensing,"""Korea, Republic of""",850.0,850.0,Each individual model number listed above,WD-1435 RD,AS/NZS 2442.1:1996,174,2.2154,2.0,Dry More,236.0,"Australia,New Zealand",Expired,29052,3.169,58.0,Condenser,600.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,CONIA,5,False,Autosensing,China,,,Each individual model number listed above,CCD5021,AS/NZS 2442.1:1996,225,1.998,1.5,"Full heat, Extra Dry",150.0,"Australia,Fiji,New Zealand",Expired,30825,3.973,,Vented,,2011-11-16,,
AS/NZS 2442.2:2000/Amdt 2:2007,MIELE,6,False,Autosensing,Germany,634.0,850.0,Each individual model number listed above,T4805 C,AS/NZS 2442.1:1996,265,2.121848128,2.0,Cottons  Normal,182.7,"Australia,Fiji,New Zealand",Expired,31874,4.747,,Condenser,595.0,2011-12-06,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T793C,AS/NZS 2442.1:1996,270,2.01,2.0,Program 3 Auto Normal Dry,144.0,"Australia,New Zealand",Expired,32428,4.7,,Condenser,595.0,2012-02-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,TURBO LINE,5.5,False,Timer,China,,,Each individual model number listed above,BRCD 55,AS/NZS 2442.1:1996,246,2.0548,2.0,"200 minutes, strong heat",186.0,"Australia,New Zealand",Approved,38730,4.289,,Vented,,2013-06-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,EUROTAG,6,False,Autosensing,China,555.0,850.0,,DV-60Q1E,AS/NZS 2442.1:1996/Amdt 4:2006,252,2.43135507961,2.0,Tumble dryer,180.0,"Australia,Fiji,New Zealand",Approved,60395,4.727,,Vented,595.0,2016-11-16,,
AS/NZS 2442.2:2000/Amdt 2:2007,OMEGA,4,False,Timer,China,,,Each individual model number listed above,OCD40WA,AS/NZS 2442.1:1996,180,2.0068,2.0,"200 minutes, strong heat",132.0,"Australia,New Zealand",Approved,38895,3.116,,Vented,,2013-08-04,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,6,False,Autosensing,Germany,600.0,850.0,single,T58800,AS/NZS 2442.1:1996,259,2.2628,2.0,"Cotton, Extra Dry",152.0,Australia,Expired,27168,4.837,,Condenser,600.0,2011-06-27,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,6,False,Autosensing,Germany,600.0,850.0,single,T57800,AS/NZS 2442.1:1996,259,2.2628,2.0,"Cotton, Extra Dry",152.0,Australia,Expired,27168,4.837,,Condenser,600.0,2011-06-27,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,6,False,Autosensing,Germany,600.0,850.0,single,T56800,AS/NZS 2442.1:1996,259,2.2628,2.0,"Cotton, Extra Dry",152.0,Australia,Expired,27168,4.837,,Condenser,600.0,2011-06-27,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,3.5,False,Timer,New Zealand,,,Each individual model number listed above,AD39,AS/NZS 2442.1:1996,207,0.33,1.0,Regular,125.0,"Australia,New Zealand",Approved,22649,2.777,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,MAYTAG,7,False,Autosensing,France,,,Each individual model number listed above,MDC709T,AS/NZS 2442.1:1996,315,2.007,2.0,"Cotton Cupboard Dry, Dryness level 0",170.0,"Australia,Fiji,New Zealand",Approved,39692,5.534,,Condenser,,2013-09-25,,
AS/NZS 2442.2:2000/Amdt 2:2007,CLASSIQUE,4,False,Timer,China,,,Each individual model number listed above,CLDRY4,AS/NZS 2442.1:1996,180,2.0068,2.0,Strong Heat,200.0,New Zealand,Approved,50351,3.115,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Autosensing,New Zealand,,,Each individual model number listed above,ED56,AS/NZS 2442.1:1996,202,2.02,2.0,Regular,135.0,"Australia,New Zealand",Approved,25927,3.503,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4,True,Autosensing,"""Korea, Republic of""",,,Each individual model number listed above,WD14800RD,AS/NZS 2442.1:1996,173,2.2509,2.0,DRY - Cupboard,205.0,"Australia,New Zealand",Expired,33482,3.223,39.0,Condenser,,2012-04-13,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELBA,3.5,False,Manual,"New Zealand,Thailand",,,single,DE35F56AW1,AS/NZS 2442.1:1996,189,0.86,1.0,Regular,110.0,New Zealand,Approved,40061,2.719,,Vented,,2013-11-06,,
AS/NZS 2442.2:2000/Amdt 2:2007,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5100A**,AS/NZS 2442.1:1996,211,2.4,2.0,Extra dry + full,170.0,"Australia,New Zealand",Approved,57155,4.008,,Vented,,2016-05-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,HOMEMAKER,5,False,Timer,China,,,Each individual model number listed above,TD50-89S,AS/NZS 2442.1:1996,229,1.8984,1.5,"Full heat, extra dry program",130.0,"Australia,New Zealand",Expired,33631,3.897,,Vented,,2012-04-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,CANDY,5,True,Autosensing,Italy,,,Each individual model number listed above,GO W496D-AUS,AS/NZS 2442.1:1996,207,2.5199,2.5,Cottons Cupboard Dry Extra,215.0,"Australia,New Zealand",Approved,59574,2.4,40.1,Condenser,,2016-07-14,,
AS/NZS 2442.2:2000/Amdt 2:2007,ARISTON,5,,Timer,United Kingdom,,,Each individual model number listed above,A35V,AS/NZS 2442.1:1996,240,1.6097,1.5,Timer 120 Minutes,120.0,"Australia,New Zealand",Expired,14421,3.886,,Vented,,2009-02-03,,
AS/NZS 2442.2:2000/Amdt 2:2007,MIELE,5,,Autosensing,Germany,600.0,850.0,Each individual model number listed above,T4888C,AS/NZS 2442.1:1996,224,2.03,2.0, NORMAL (DRYING LEVEL +1),128.0,"Australia,New Zealand",Expired,16419,3.958,,Condenser,600.0,2009-08-17,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,6.5,False,Autosensing,Poland,,,Each individual model number listed above,WTW86561AU,AS/NZS 2442.1:1996,128,7.122,6.0,Cottons Cupboard Dry,160.0,"Australia,New Zealand",Approved,55668,5.16,,Condenser,,2016-01-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,10,,Autosensing,"""Korea, Republic of""",751.0,1084.0,single,DLG5932W,AS/NZS 2442.1:1996,447,2.048,2.0,"Heavy Duty, Normal Dry",54.0,"Australia,New Zealand",Expired,13383,7.99,,Vented,686.0,2008-09-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,KLEENMAID,6.5,False,Autosensing,Slovenia,600.0,850.0,single,KED602,AS/NZS 2442.1:1996,289,2.08,2.0,cotton store dry,167.0,Australia,Approved,40732,5.093,,Condenser,600.0,2014-01-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,TUSCANY,5,False,Autosensing,China,,,Each individual model number listed above,TDY5,AS/NZS 2442.1:1996,225,1.9983,1.5,Energy Efficiency Labelling Tests,160.0,New Zealand,Approved,32769,3.97,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,3.5,True,Autosensing,Thailand,,,Each individual model number listed above,EWW1273,AS/NZS 2442.1:1996,142,2.64,2.5,"Cottons, Auto Dry, Extra Dry ",131.0,"Australia,Fiji,New Zealand",Approved,47341,2.743,29.8,Condenser,,2014-11-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,TURBO LINE,4,False,Timer,China,,,Each individual model number listed above,BRCD 4,AS/NZS 2442.1:1996,180,2.0068,2.0,"200 minutes, strong heat",132.0,"Australia,New Zealand",Expired,35093,3.116,,Vented,,2012-07-30,,
AS/NZS 2442.2:2000/Amdt 2:2007,KLEENMAID,10,False,Autosensing,United States,,,Each individual model number listed above,KED2000,AS/NZS 2442.1:1996,447,2.06057,2.0,"Cupboard Dry, Dryness Setting = 0 & 1200 rpm",161.0,Australia,Approved,38695,7.999,,Vented,,2013-09-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5004A,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5003A,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5002A,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5001A,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,
