Appliance,Brand,Model.No,Country,CEC,SRI,Star,TotWatCons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Dish Washer,TUSCANY,DWQP12-9242,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,normal,Program Time,124,Standby Power Usage,0
Dish Washer,POLO,DW6-S-ELITE,China,320,2.5,2.5,15.7,12,Type,Freestanding,Program Name,normanl  61,Program Time,124,Standby Power Usage,1.32
Dish Washer,MIELE,G1022U  & G1022i,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1022,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1182Vi,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1182SCVi,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1142i,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1142U,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1142,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1142SCi,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1142SCU,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,MIELE,G1142SC,Germany,277,3.05,3,14.1,12,Type,Built-in,Program Name,Normal,Program Time,130,Standby Power Usage,0.29
Dish Washer,ASKO,D5142,Sweden,265,3.61,3.5,13.8,14,Type,Built-in,Program Name,NORMAL ECO TEMP. ECO DRY,Program Time,100,Standby Power Usage,0.1
Dish Washer,ASKO,D5233B,Sweden,265,3.61,3.5,13.8,14,Type,Built-in,Program Name,NORMAL ECO TEMP. ECO DRY,Program Time,100,Standby Power Usage,0.1
Dish Washer,RANK ARENA,RADW12M,China,382,2.15,2,17.7,12,Type,Built-in,Program Name,Normal,Program Time,116,Standby Power Usage,0
Dish Washer,TRIESTE,Trieste DL06-07,China,340,2.47,2,15.6,12,Type,Freestanding,Program Name,Normal,Program Time,112,Standby Power Usage,0.1
