Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,,,,,,,,
Refridgerator,ACQUA,GY-NE350RF/01,China,346,1.5831,1.5,351,Designation,Cooled appliance,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,ACQUA,GY-NE270FR/01,China,390,2.4567,2,254.8,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,ELECTROLUX,ESE6077SC,Australia,551,2.8155,2.5,596,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,TELMANN,TELFF-293i,China,376,2.4066,2,246,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,TELMANN,TELFF-293w,China,376,2.4066,2,246,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,SHARP,SJ-308N-WH,Thailand,415,2.4698,2,308,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SHARP,SJ-308N-SL,Thailand,415,2.4698,2,308,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GN-315FW,Indonesia,443,2.2442,2,315,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LG,GN-346FW,Indonesia,456,2.3133,2,346,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LG,GN-R315FW,Indonesia,443,2.2442,2,315,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,GENERAL ELECTRIC,PSE29NHTC**,Mexico,904,1.6465,1.5,840,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,LG,GN-R346FW,Indonesia,456,2.3133,2,346,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WBM12MS,Brazil,251,1.6708,1.5,118,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,WHIRLPOOL,6WBM12MW,Brazil,251,1.6708,1.5,118,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,WHIRLPOOL,6WBM12MV,Brazil,251,1.6708,1.5,118,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,ELECTROLUX,EBE5107BA,Australia,420,3.41,3,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SIMPSON,STB3100W,Thailand,434,2.2922,2,308,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,WCM5000WC,Australia,529,2.6343,2.5,500,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,ELECTROLUX,EBM3800W,Australia,516,2.0386,2,381,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,BJ384,Australia,516,2.0386,2,381,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,EBM5100W,Australia,589,2.1161,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,N440SE,Australia,482,2.5293,2.5,442,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,PRIMA,PCF210,China,312,2.9075,2.5,205,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,Haier,HFC210,China,340,2.6225,2.5,210,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,Haier,HBM295S,China,525,1.5427,1.5,286,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MEILING,MF-208,China,345,2.5493,2.5,202.5,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,ELBA,ER80WH1,China,285,0.913,1,84.75,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Chill",,FALSE
Refridgerator,GENERAL ELECTRIC,GCE21YETBFNS,Mexico,790,1.5969,1.5,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,GENERAL ELECTRIC,GCE21YETBFSS,Mexico,790,1.5969,1.5,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,NEC,NBM300RSS,China,488,1.743,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,NEC,NBM300RWH,China,488,1.743,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,MISTRAL,MURF110RH(H),China,248,2.3358,2,85,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,SAMSUNG,SR-21NME,Thailand,349,2.4205,2,210,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SR223NME,Thailand,402,1.988,1.5,223,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,KELON,RD-30WR4HME,China,414,2.1587,2,255.7,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WMV47NV,Brazil,493,2.601,2.5,470,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WMV47NS,Brazil,493,2.601,2.5,470,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WMV47NW,Brazil,493,2.601,2.5,470,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WMV47**,Brazil,493,2.601,2.5,470,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WRI24NG,India,404,2.0579,2,240,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WRI24NW,India,404,2.0579,2,240,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6WRI24N*,India,404,2.0579,2,240,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WHIRLPOOL,6ED2FHKXRL,,614,2.5017,2.5,640,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,FALSE
