ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6.5,,269,,52.7,True,Dual,Italy,,,Drum,,11.0,Yes on the warm wash program only,Front,Drum,WIDL106,AS/NZS 2040.1:2005/Amdt 3:2010,3.6215,3.5,,,"Program No.2, Cotton 40C, 1000Rpm","Australia,New Zealand",,25350,Expired,93.1,63.7,Drum,0.718,,2011-03-23,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),CONIA,5,,358,,51.0,False,Cold,China,,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,CWM5002F,AS/NZS 2040.1:2005/Amdt 3:2010,2.209,2.0,,,"Cottons cycles, Intensive, 60 deg.C",New Zealand,,25265,Superseded,105.0,51.0,Drum,0.911,,2011-04-27,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,5.5,60,470,"Regular, Cold, Eco",50.0,False,Dual,New Zealand,,,Drum,,23.0,No,Top,Agitator,MW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.0528,1.5,,,"Regular, Warm/Cold, Eco","Australia,New Zealand",,24328,Expired,46.0,73.0,Non-Drum,0.68,,2011-02-12,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,6.5,63,558,"Regular, Cold, Eco",64.4,False,Dual,New Zealand,,,Non Drum,,25.8,No,Top,Agitator,GW612,AS/NZS 2040.1:2005/Amdt 3:2010,2.01714,2.0,,,"Regular, Warm/Cold, Eco","Australia,New Zealand",,24323,Expired,47.0,90.19,Non-Drum,0.65,,2011-02-12,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ARISTON,7,,344,,56.9,False,Dual,Italy,,,Drum,,11.2,Yes on the warm wash program only,Front,Drum,AVXL105,AS/NZS 2040.1:2005/Amdt 3:2010,3.3461,3.0,,,Program No 3 Cottons@60C,"Australia,New Zealand",,23271,Expired,,68.0,Drum,0.664,,2010-12-01,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),BOSCH,6.5,,221,,63.0,,Cold,Thailand,,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,WFO2460AU,AS/NZS 2040.1:2005/Amdt 3:2010,4.13,4.0,,,Cottons 40 + Intensive,"Australia,New Zealand",,22194,Expired,131.0,63.0,Drum,0.647,,2010-10-10,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,7,,380,,57.2,False,Dual,Italy,,,Drum,,14.3,Yes on the warm wash program only,Front,Drum,WI102,AS/NZS 2040.1:2005/Amdt 3:2010,3.097,3.0,,,"Program No.3, Cotton 60C, 1000RPM","Australia,New Zealand",,27997,Superseded,99.1,71.5,Drum,0.687,,2011-08-14,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,7,,380,,57.2,False,Dual,Italy,,,Drum,,14.3,Yes on the warm wash program only,Front,Drum,WIL102,AS/NZS 2040.1:2005/Amdt 3:2010,3.097,3.0,,,"Program No.3, Cotton 60C, 1000RPM","Australia,New Zealand",,27997,Superseded,99.1,71.5,Drum,0.687,,2011-08-14,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,7,,380,,57.2,False,Cold,Italy,,,Drum,,14.3,Yes on the warm wash program only,Front,Drum,WIL102 (AUS),AS/NZS 2040.1:2005/Amdt 3:2010,3.097,3.0,,,"Program No. 3, Cotton 60 C",Australia,,24338,Expired,99.1,71.5,Drum,0.687,,2011-03-26,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ASKO,6,,185,,45.8,False,Cold,Sweden,,595.0,Drum,850.0,1.0,Yes on both the warm and cold wash programs,Front,Drum,W6451,AS/NZS 2040.1:2005/Amdt 3:2010,4.56,4.5,,,Program 2 Normal Wash 40c,Australia,,24344,Expired,106.0,46.8,Drum,0.552,565.0,2011-03-14,,
