Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Refridgerator,SIGNATURE,SIG-350W,China,496,1.6807,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,HISENSE,HCF150A,China,296,2.5198,2.5,146.5,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,HELLER,FDH-278 (Cat No. BCD-278W),China,496,1.6451,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,OMEGA,FB*600No.,"""Korea, Republic of""",760,1.5828,1.5,603,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,NIGHTINGALE,NF-340,China,458,2.3344,2,354.41,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,LEMAIR,RS-240S,China,333,1.2721,1,240.5,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,BOSCH,KSU45621AU,Turkey,500,2.4768,2,462,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,LG,GR-L247STB,"""Korea, Republic of""",730,2.0383,2,691,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,BOSCH,KAN58A70AU,"""Korea, Republic of""",760,1.5828,1.5,603,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,LEMAIR,FR-180V,China,348,2.2573,2,180.1,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TCL,TCF-150X,China,295,2.5841,2.5,151,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,CONIA,CF290,China,380,2.4907,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,CONIA,CF290,China,380,2.4907,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,SIGNATURE,HUALING  WD-200,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,SIGNATURE,SIG-200F,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,CENTREX,CTF200,China,403,1.6979,1.5,193,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,BOSCH,KSU49621AU,Turkey,480,2.9143,2.5,511,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,RJ202*,China,390,1.9089,1.5,202.47,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,NEC,NTM410R**,"""Korea, Republic of""",495,2.3296,2,405,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,CENTREX,CTCF300,China,390,2.7696,2.5,300,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,NEC,NTM-250RWH/NTM-250RSS,"""Korea, Republic of""",390,2.2643,2,246,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,OMEGA,FBS600No.,"""Korea, Republic of""",650,2.2492,2,618,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,OMEGA,TM543*,"""Korea, Republic of""",560,2.4725,2,543.4,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,NEC,NTM510R**,"""Korea, Republic of""",540,2.4415,2,506,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,SIMPSON,SSM6100W,Australia,675,2.0845,2,606,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,SIMPSON,SSM6100M,Australia,675,2.0845,2,606,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,SMEG,SR600P,"""Korea, Republic of""",650,2.2492,2,618,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-M66AD,Thailand,596,2.4775,2,613.86,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WCM7000W,Australia,706,2.222,2,692,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WCM2100W,Australia,349,2.4953,2,207,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,OMEGA,FRR721*/FBR721*,"""Korea, Republic of""",840,1.5912,1.5,721,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,WESTINGHOUSE,WBM5100P,Australia,560,2.3093,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WBM5100W,Australia,560,2.3093,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,OMEGA,FBR616P/FRR616M,"""Korea, Republic of""",780,1.5376,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,OMEGA,FRR616S,"""Korea, Republic of""",780,1.5376,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,LG,GR-L267NIS,"""Korea, Republic of""",870,1.6689,1.5,803,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,TRUE
Refridgerator,WESTINGHOUSE,WCM3200W,Australia,431,2.4823,2,315,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,LG,GR-B197RVQ,"""Korea, Republic of""",680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,TELMANN,KR-128,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,TELMANN,KR-128SS,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,LG,GR-L247NSS,"""Korea, Republic of""",730,2.0383,2,691,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,TRUE
Refridgerator,LG,GR-F218JTTA,"""Korea, Republic of""",678,2.0277,2,622,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,TRUE
Refridgerator,LG,GR-A207CTBA,"""Korea, Republic of""",688,1.9029,1.5,581,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,TELMANN,TM002BF,China,265,2.0096,2,80.88,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TELMANN,TM002SS,China,265,2.0096,2,80.88,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TRIESTE,TRD-36,China,421,2.399,2,309.4,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,Haier,HFC150A,China,300,2.5085,2.5,150,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TELMANN,KR-128SS,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,TELMANN,KR-128,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,AKAI,RF-R33TF,China,420,2.1078,2,267,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TELMANN,TM001CF,China,249,2.4964,2,95,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TRIESTE,TR-14DR4HAS,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,NIGHTINGALE,43,China,421,2.0987,2,267,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,OMEGA,FBS645P/FBS645W/FRS645S,"""Korea, Republic of""",710,2.0134,2,645,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,HELLER,FDH-22,China,358,2.0361,2,180.6,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,FISHER & PAYKEL,E402B (Ice & Water),New Zealand,556,1.8715,1.5,403,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,DAEWOO,DFS-616DS,"""Korea, Republic of""",740,1.739,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,WESTINGHOUSE,WSE6070S,Australia,829,1.2526,1,596,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,HELLER,BFH-5,China,288,0.5181,1,48.54,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,OMEGA,FBR616P/FRR616M,"""Korea, Republic of""",780,1.5376,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,LEMAIR,RD-220FF,China,358,2.0359,2,180.6,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,DAEWOO,DFS-645E/DFS-645S,"""Korea, Republic of""",710,2.0134,2,645,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,OMEGA,FBW616P/FBW616W/FRW616S,"""Korea, Republic of""",740,1.739,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,TUSCANY,TBF66WH,China,288,0.5181,1,48.54,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,HELLER,FDH-44,China,458,2.3344,2,354.41,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,SIMPSON,STM3900MA,Australia,463,2.4453,2,393,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,FISHER & PAYKEL,N308,New Zealand,565,1.3771,1,304,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,LG,GR-298SQF,China,485,1.936,1.5,305,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,PRIMA,PFF260,China,421,2.0987,2,267,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WSE6100WA,Australia,687,2.0171,2,606,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,LEMAIR,RQ-55K,China,288,0.5177,1,48.5,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,NEC,NTM-306RWH,China,450,1.9961,1.5,281.7,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SRS541NP,China,674,1.8428,1.5,539,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WRM4300S,Australia,380,1.5082,1.5,434,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WRM4300W,Australia,380,1.5082,1.5,434,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SRS542HP,China,756,1.4067,1,540,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,NEC,SBS-645 / SBS-645P,"""Korea, Republic of""",710,2.0134,2,645,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,NEC,FR-080R,"""Korea, Republic of""",305,0.6297,1,80,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",Has an icemaker,FALSE
Refridgerator,HOMEMAKER,HMWB-120,China,270,1.4375,1,122,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",Has an icemaker,FALSE
Refridgerator,LG,GC-B196ACF,China,680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,TGA UNLIMITED,BC-128,China,322,0.7007,1,118,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,FISHER & PAYKEL,RB90S (refrigerator),New Zealand,185,2.8564,2.5,123,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,FISHER & PAYKEL,RB90S (freezer),New Zealand,340,1.7,1.5,123,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,GVA,GVAF100,China,234,1.7879,1.5,100,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,LG,GC-L197STS,China,738,1.5673,1.5,567,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,SAMSUNG ELECTRONICS,SRS576DP,China,698,1.8113,1.5,576,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,SAMSUNG ELECTRONICS,SRS589ENP,China,687,1.9373,1.5,589,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TURBO LINE,BRF365,China,334,1.6697,1.5,338,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,HISENSE,GVAV72,China,277,1.6745,1.5,72,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455UL-ST-A,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455U-ST-A,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455UL-W-A,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455U-W-A,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,MISTRAL,MURF90SS(H),China,248,2.3358,2,85,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,SMEG,SR600PRW,"""Korea, Republic of""",760,1.5828,1.5,603,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,LG,GR-349STQA,China,485,1.936,1.5,305,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,LG,GR-391SCA,"""Korea, Republic of""",500,2.2308,2,392,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,ARISTON,SD 350 (FE),China,387,1.1502,1,349.8,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,CONIA,CF220,China,358,2.0361,2,180.6,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-H55TA2,Thailand,552,2.5168,2.5,531.45,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,ARISTON,UP 350 F (FE),China,535,1.3572,1,270,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,JENN-AIR,JCBJ-20***,United States,653,2.0634,2,594.5,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,Haier,HFV116,China,310,1.9591,1.5,116,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,MAYTAG,MT1526PAKW / MT1526PAKS,"""Korea, Republic of""",470,2.6956,2.5,441,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,DAEWOO,DFT-405K*,"""Korea, Republic of""",495,2.3296,2,405,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,HELLER,FDH25,China,380,2.4773,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SR328NW,Thailand,400,2.6987,2.5,328,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SR296NW,Thailand,404,2.4624,2,296,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,CONIA,CF243,China,403,1.9438,1.5,215,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,LG,GR-P257SVB,"""Korea, Republic of""",872,1.4496,1,716,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,TRUE
Refridgerator,LG,GR-B197NSS,"""Korea, Republic of""",680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,LG,GR-B197WSS,"""Korea, Republic of""",680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,ELECTROLUX,EQE6007SA-NAU,Thailand,765,1.556,1.5,600,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,DEC,D220FF,China,350,2.5124,2.5,218,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TELMANN,TEL148G,China,272,2.8143,2.5,144,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TELMANN,TEL208G,China,316,2.8321,2.5,202,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,CENTREX,CTF260,China,409,2.0371,2,236,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,Haier,HOVF110,China,248,2.3358,2,85,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TELMANN,HS-390CN(C),China,400,2.6377,2.5,294.6,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,LG,GN-422FS,Indonesia,506,2.3305,2,422,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,Haier,HOBF66,China,280,0.6198,1,48,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,Haier,HFSS635S,China,650,2.271,2,624,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,Haier,HFSS635RS,China,650,2.271,2,624,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,Haier,HFSS635RW,China,650,2.271,2,624,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,BOSCH,KAN56V40AU,"""Korea, Republic of""",630,2.3688,2,618,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,BOSCH,KAN56V10AU,"""Korea, Republic of""",630,2.3688,2,618,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,FISHER & PAYKEL,E442B - Ice and Water,New Zealand,615,1.673,1.5,442,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-YG55DAA,Thailand,537,2.6222,2.5,532,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-Y55DA,Thailand,555,2.4961,2,532,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,NEC,NBR50RSS,China,288,0.5181,1,48.54,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,NEC,NBR50RWH,China,288,0.5181,1,48.54,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,GENERAL ELECTRIC,PIG23******,Mexico,864,1.3592,1,680,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,GENERAL ELECTRIC,PCG23******,Mexico,864,1.3592,1,680,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,GENERAL ELECTRIC,PCG23,Mexico,864,1.3592,1,680,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",Has an icemaker,TRUE
Refridgerator,HELLER,PPRH35,China,387,1.1502,1,353.7,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,WANBAO,WB-120D,China,270,1.4029,1,122,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,TURBO LINE,BRF55,China,280,0.6198,1,48,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,ELECTROLUX,EQE6007SB-NAU,Thailand,616,2.394,2,602,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,CONIA,CCF200,China,334,2.6021,2.5,203.4,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,CONIA,CF276B,China,488,1.743,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-RG58DAA,Thailand,549,2.6478,2.5,566.1,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WTM1800WC,China,341,2.2155,2,180,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WRM1300WC,China,285,1.2375,1,128,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,Has an icemaker,FALSE
Refridgerator,BMC,BBF115,China,320,0.7138,1,115,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Chill",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,FR91,China,238,2.5779,2.5,89.96,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,PYE,PF85,China,249,2.3356,2,85,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TSUBA TECHNOLOGY,MF-305,China,390,2.561,2.5,269,Designation,Freezer,Configuration,Upright,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-M41DA,Thailand,474,2.4107,2,381.61,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,TOSHIBA,GR-R41DA,Thailand,484,2.3308,2,381.61,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,LG,GN-466FW,Indonesia,490,2.6499,2.5,466,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",Has an icemaker,FALSE
Refridgerator,WESTINGHOUSE,WCM2100WC,Australia,322,2.8307,2.5,210,Designation,Freezer,Configuration,Chest,Compartments,Freezer,Has an icemaker,FALSE
Refridgerator,HELLER,FDH21,China,352,2.2961,2,202.5,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",Has an icemaker,FALSE
