"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"9715","HELLER","WAC25RC","China",0.84,2.006,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"9716","PYE","ACP30","China",2.46,1.8252,1.5,1.934,"Non Ducted","Single Split System","Reverse Cycle"
"9723","MDV","MSG-12HRN1-M3","China",0.92,2.7094,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"9727","ONSEN","HO9SF","China",0.76,2.2632,2,0.47,"Non Ducted","Single Split System","Reverse Cycle"
"9732","AKAI","TEM-64CHSAAU","China",2.06,1.5258,1.5,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"9733","SAMSUNG ELECTRONICS","NS0261HXEN/RC026DHXEN","China",0.7,2.1682,2,0.55,"Non Ducted","Single Split System","Reverse Cycle"
"9735","Panasonic","CS_CU-S28LKR","Malaysia",2.65,1.236,1,2,"Non Ducted","Single Split System","Cooling Only"
"9737","YORK","YUHC30DTBAAR-K-III","China",2.9,1.4878,1,2.08,"Ducted","Single Split System","Reverse Cycle"
"9738","YORK","YUHC42DTBACR-K-III","China",3.8,1.2266,1,2.97,"Ducted","Single Split System","Reverse Cycle"
"9752","MIDEA","MS9A-09HRN1-QC7G","China",0.72,2.6006,2.5,0.33,"Non Ducted","Single Split System","Reverse Cycle"
"9754","Panasonic","CS_CU-S24MKR","Malaysia",2.18,2.0644,2,1.63,"Non Ducted","Single Split System","Cooling Only"
"9767","AGEAN","AHA-30HRDN1","China",2.9,1.4878,1,2.08,"Ducted","Single Split System","Reverse Cycle"
"9768","AGREE","AGSG1-09HRN1","China",0.76,2.6712,2.5,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"9770","LENNOX","LNIV7610","China",2.23,2.2244,2,2.16,"Non Ducted","Single Split System","Reverse Cycle"
"9773","MITSUBISHI ELECTRIC","SLZ-KA50VAL / SUZ-KA50VA","Thailand",1.63,0.9896,1,1.47,"Non Ducted","Single Split System","Reverse Cycle"
"9774","MITSUBISHI ELECTRIC","SLZ-KA50VA / SUZ-KA50VA","Thailand",1.63,0.9896,1,1.47,"Non Ducted","Single Split System","Reverse Cycle"
"9792","DAIKIN","FTYN35K / RYN35K","Thailand",1,2.4328,2,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"9794","Teco","LS2107V1 / LT2107V1","China",1.64,1.5448,1.5,1.16,"Non Ducted","Single Split System","Reverse Cycle"
"9795","Teco","LS1507V1 / LT1507V1","China",1,2.2912,2,0.27,"Non Ducted","Single Split System","Reverse Cycle"
"9797","DAIKIN","FVXS71K / RXS71HA","Thailand",2.36,1.5074,1.5,2.24,"Non Ducted","Single Split System","Reverse Cycle"
"9798","SAMSUNG ELECTRONICS","AQV09UWLN/AQV09UWLX","Thailand",0.56,4.1736,4,0.1,"Non Ducted","Single Split System","Reverse Cycle"
"9803","DAIKIN","FVXS50G / RXS50J","Japan,Thailand",1.57,1.4256,1,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"9805","SAMSUNG ELECTRONICS","NS1254PXEA/RC125PHXEA","""Korea, Republic of""",3.68,2.3019,2,2.75,"Non Ducted","Single Split System","Reverse Cycle"
"9806","EVANTAIR","AUS-09H53R150L","China",0.74,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"9807","DAIKIN","FTN25K / RN25K","Thailand",0.63,3.4286,3,0.3,"Non Ducted","Single Split System","Cooling Only"
"9808","MIDEA","MS9A-21HRDN1-QC2GW","China",1.83,2.0266,2,1.04,"Non Ducted","Single Split System","Reverse Cycle"
"9809","AGREE","AGSG1-12HRN1","China",0.92,2.7094,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"9811","SAMSUNG ELECTRONICS","NS140HHXEN/RC140DHXEN","China",4.59,1.3736,1,1.6,"Ducted","Single Split System","Reverse Cycle"
"9812","HITACHI","RAS-80YHA2/RAC80YHA2","Malaysia",2.65,1.57,1.5,2.36,"Non Ducted","Single Split System","Reverse Cycle"
"9813","DAIKIN","FTKS71K / RKS71K","Thailand,Japan",2.38,1.478,1,2.13,"Non Ducted","Single Split System","Cooling Only"
"9814","DAIKIN","FTKS50K / RKS50K","Thailand,Japan",1.43,2.6512,2.5,1.21,"Non Ducted","Single Split System","Cooling Only"
"9815","PYE","ACP24","China",2.14,1.4856,1,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"9825","AGEAN","ASC-21HRDNI","China",1.85,2.0224,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"9826","AKAI","MWF-18CRN1-QC1G","China",1.59,2.021,2,1.3,"Non Ducted","Window Wall","Cooling Only"
"9827","AKAI","MWF-12CRN1-QC1G","China",1.09,1.942,1.5,0.52,"Non Ducted","Window Wall","Cooling Only"
"9832","AKAI","TEM-64CHSAAU","China",2.06,1.5258,1.5,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"9836","AKAI","TEM-35CHSABH","China",0.99,2.2742,2,0.5,"Non Ducted","Single Split System","Reverse Cycle"
"9846","AGER","AWM-70B","China",2.3,1.5214,1.5,1.452,"Non Ducted","Single Split System","Reverse Cycle"
"9850","AGER","AWM-72VA","China",2.4,1.5478,1.5,2.186,"Non Ducted","Single Split System","Reverse Cycle"
"9852","AGER","AWM-63VA","China",2,1.4676,1,1.501,"Non Ducted","Single Split System","Reverse Cycle"
"9853","AGER","AWM-50VA","China",1.64,1.574,1.5,1.289,"Non Ducted","Single Split System","Reverse Cycle"
"9854","AGER","AWM-52B","China",1.7,1.4692,1,1.544,"Non Ducted","Single Split System","Reverse Cycle"
"9855","DAIKIN","FTN25H / RN25H","Thailand,Japan",0.79,2.194,2,0.373,"Non Ducted","Single Split System","Cooling Only"
"9856","HITACHI","RAS/C-25YHA2","China",0.7,2.2332,2,0.33,"Non Ducted","Single Split System","Reverse Cycle"
"9858","DAIKIN","FTXS80H / RXS80H","Thailand,Japan",2.58,1.481,1,2.07,"Non Ducted","Single Split System","Reverse Cycle"
"9860","HITACHI","RAS/C35YHA2","China",0.98,2.455,2,0.63,"Non Ducted","Single Split System","Reverse Cycle"
"9861","AGER","AWM-33B","China",0.99,2.29,2,0.921,"Non Ducted","Single Split System","Reverse Cycle"
"9876","Tia","WIU00A70-OCU1A70","China",2.3,1.5988,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"9877","Tia","WIU00A52-OCU1A52","Chile,China",1.64,1.5456,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"9883","BONAIRE","BHWSI/35  BHWSO/35","China",1.01,2.32,2,0.528,"Non Ducted","Single Split System","Reverse Cycle"
"9887","BONAIRE","BHWSI/70 BHWSO/70","China",2.3,1.62,1.5,1.227,"Non Ducted","Single Split System","Reverse Cycle"
"9888","BONAIRE","BHWSI/52 BHWSO/52","China",1.64,1.54,1.5,1.004,"Non Ducted","Single Split System","Reverse Cycle"
"9893","LENNOX","LNIV3510","China",0.92,3.08053767797,3,0.47,"Non Ducted","Single Split System","Reverse Cycle"
"9901","YORK","YUHC48DTBAAR-K-III","Australia,China",4.66,1.3254,1,0.23,"Ducted","Single Split System","Reverse Cycle"
"9921","LENNOX","LNIV2610","China",0.67,3.27261416517,3,0.14,"Non Ducted","Single Split System","Reverse Cycle"
"9946","MDV","MSC-09HRDN1-QC2","China",0.69,3.0226,3,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"9947","Kent","KHP290-004","China",1.51,2.0636,2,0.93,"Non Ducted","Single Split System","Reverse Cycle"
"9949","MIDEA","MS9A-24HRDN1-QC2GW","China",2.23,2.018,2,1.85,"Non Ducted","Single Split System","Reverse Cycle"
"9952","AGEAN","AHA-48HRDN1","China",4.6,1.442,1,3.54,"Ducted","Single Split System","Reverse Cycle"
"9953","MIDEA","MS9A-21HRN1-QC2GPW","China",1.95,2.0424,2,1.23,"Non Ducted","Single Split System","Reverse Cycle"
"9954","MIDEA","MS9A-09HRDN1-QC8G","China",0.69,3.045,3,0.22,"Non Ducted","Single Split System","Reverse Cycle"
"9955","PIONEER","HTE-100A1 / HTIO100A1","China",3.3,1.3122,1,2.14,"Ducted","Single Split System","Reverse Cycle"
"9956","AGREE","AGSG1-28HRN1","China",2.46,2.1138,2,1.76,"Non Ducted","Single Split System","Reverse Cycle"
"9957","AGREE","AGSG1-24HRN1","China",2.2,2.0376,2,1.71,"Non Ducted","Single Split System","Reverse Cycle"
"9958","AGREE","AGSG1-18HRN1","China",1.6,2.0078,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"9959","ECLIPSE","EHD-36HRDN1","China",3.3,1.3122,1,2.14,"Ducted","Single Split System","Reverse Cycle"
"9960","MITSUBISHI ELECTRIC","MFZ-KA50VA/SUZ-KA50VA2","Thailand,Japan",1.55,1.9106,1.5,1.32,"Non Ducted","Single Split System","Reverse Cycle"
"9961","ECLIPSE","EWF-09HRN1","China",0.84,2.006,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"9966","COOL OR COSY","WCOC12HR2-C1","China",1.09,1.942,1.5,0.52,"Non Ducted","Window Wall","Cooling Only"
"9967","COOL OR COSY","WCOC18HRN2","China",1.59,2.0308,2,1.23,"Non Ducted","Window Wall","Reverse Cycle"
"9968","ECLIPSE","ESC-12HRDN1","China",0.88,3.0606,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"9969","ECLIPSE","ESC-18HRDN1","China",1.54,2.0124,2,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"9970","ECLIPSE","ESC-21HRDN1","China",1.85,2.0224,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"9979","QFLOW","QFNMR12-410","China",0.92,2.7094,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"9980","COOL OR COSY","COCI28HRDN1","China",2.46,2.1304,2,2.1,"Non Ducted","Single Split System","Reverse Cycle"
"9981","COOL OR COSY","COCI24HRDN1","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"9982","MIDEA","MWF-18HMN1-QC1","China",1.59,2.0308,2,1.23,"Non Ducted","Window Wall","Reverse Cycle"
"9983","EUROART","ACF-21H","China",1.94,2.0514,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"9984","MIDEA","MCC-24HRDN1-Q/MOU-24HDN1-Q","China",2.35,1.4462,1,0.53,"Non Ducted","Single Split System","Reverse Cycle"
"9985","MIDEA","MHD-24HRDN1-Q/MOU-24HDN1-Q","China",2.41,1.2012,1,0.49,"Ducted","Single Split System","Reverse Cycle"
"9990","ECLIPSE","ESC-09HRDN1","China",0.69,3.0226,3,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"9991","MITSUBISHI ELECTRIC","SLZ-KA25VAL/SUZ-KA25VA2","Thailand",0.68,2.511,2.5,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"9992","COOL OR COSY","COC18HRN1","China",1.57,2.0096,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"9995","MIDEA","MWF-07CMN1-QC1","China",0.68,2.0702,2,0.38,"Non Ducted","Window Wall","Cooling Only"
"9996","MIDEA","MWF-16HMN1-QC1","China",1.46,1.9568,1.5,1.1,"Non Ducted","Window Wall","Reverse Cycle"
"9997","MIDEA","MSC-09HRN1-QC7G","China",0.75,2.5058,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"10006","MIDEA","MSC-12HRN1-QC7G","China",0.91,2.5426,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"10007","MITSUBISHI ELECTRIC","SLZ-KA25VA/SUZ-KA25VA2","Thailand",0.68,2.5036,2.5,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"10009","MIDEA","MSG-09HRN1-QC7G","China",0.76,2.6712,2.5,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"10013","MIDEA","MSG-18CRN1-QC2G","China",1.6,2.0106,2,1.12,"Non Ducted","Single Split System","Cooling Only"
"10014","MIDEA","MSG-12CRN1-QC7G","China",0.92,2.7434,2.5,0.34,"Non Ducted","Single Split System","Cooling Only"
"10015","MIDEA","MSG-21CRN1-QC2GP","China",1.94,2.0774,2,1.47,"Non Ducted","Single Split System","Cooling Only"
"10016","MIDEA","MSKF21M3","China",1.91,2.011,2,1.37,"Non Ducted","Single Split System","Reverse Cycle"
"10017","MIDEA","MSKF18M3","China",1.6,2.0312,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"10018","MDV","MSC-09HRN1-QC7","China",0.75,2.5058,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"10019","DAEWOO","DSB-F245LHM-DV","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"10023","PIONEER","HTE-140A1/HTIO140A1","China",4.6,1.442,1,3.54,"Ducted","Single Split System","Reverse Cycle"
"10024","MITSUBISHI ELECTRIC","MSZ-GE35VA","Thailand",1.01,2.356,2,0.52,"Non Ducted","Single Split System","Reverse Cycle"
"10027","MITSUBISHI ELECTRIC","MSZ-FB50VAH","Thailand",1.6,1.87,1.5,1.16,"Non Ducted","Single Split System","Reverse Cycle"
"10028","MITSUBISHI ELECTRIC","MSZ-FB50VA","Thailand",1.6,1.87,1.5,1.16,"Non Ducted","Single Split System","Reverse Cycle"
"10031","MITSUBISHI ELECTRIC","MFZ-FB50VAH","Japan,Thailand",1.55,1.534,1.5,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"10032","MITSUBISHI ELECTRIC","MFZ-KA50VA","Japan,Thailand",1.55,1.48,1,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"10034","MDV","MSC-24HRDN1-M3","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"10036","STIRLING","TAC-18CHSA/F4 ","China",1.56,2.10616644837,2,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"10037","YORK","RVHC21DSAAAF-III","China",1.85,2.02,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"10038","LENNOX","LNWR53X","China",1.6,2.07077114275,2,1.25,"Non Ducted","Window Wall","Reverse Cycle"
"10039","AKAI","TEM-50CHSABR","China",1.48,2.08796276156,2,0.151,"Non Ducted","Single Split System","Reverse Cycle"
"10040","AKAI","TEM-35CHSAAK","China",0.84,3.01208733097,3,0.15,"Non Ducted","Wall Hung Portable Balanced","Reverse Cycle"
"10052","AKAI","AUS-12H53R150P9(De3)","China",0.92,2.81978038537,2.5,1.512,"Non Ducted","Single Split System","Reverse Cycle"
"10053","AKAI","MWF-12CRN1-QC5G","China",1.09,2.12642004645,2,0.94,"Non Ducted","Window Wall","Cooling Only"
"10054","AKAI","MWF1-09CRN1-QC5G","China",0.79,2.1967697477,2,0.49,"Non Ducted","Window Wall","Cooling Only"
"10056","STIRLING","TAC-22CHSA/H","China",2.06,1.5258,1.5,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"10057","YORK","RAHC09FSAAAA-III","China",0.75,2.5,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"10058","MDV","MWM-18HRN1","China",1.59,1.98,1.5,1.25,"Non Ducted","Window Wall","Reverse Cycle"
"10059","QFLOW","QFNMR24-410","China",2.29,1.76,1.5,1.75,"Non Ducted","Single Split System","Reverse Cycle"
"10061","YORK","RVHC09DSAAAF-III","China",0.69,2.98,2.5,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"10064","DE","DEB-F12HRDN1-QC8G","China",0.88,3.06,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"10081","MDV","MSC-24HRN1-QC2","China",2.29,1.76,1.5,1.75,"Non Ducted","Single Split System","Reverse Cycle"
"10082","Proma","PRO-80M","China",2.6,1.64,1.5,1.75,"Non Ducted","Single Split System","Reverse Cycle"
"10083","Proma","PRO-70M","China",2.29,1.6,1.5,1.75,"Non Ducted","Single Split System","Reverse Cycle"
"10084","LENNOX","LNIV5010","China",1.45,2.33069731473,2,0.56,"Non Ducted","Single Split System","Reverse Cycle"
"10090","Panasonic","CS_CU-E15LKR","Malaysia",1.27,2.0398,2,0.88,"Non Ducted","Single Split System","Reverse Cycle"
"10095","Panasonic","CS-E9JKR/CU-E9JKR-3","Malaysia",0.6,3.3,3,0.16,"Non Ducted","Single Split System","Reverse Cycle"
"10096","Panasonic","CS_CU-E9JKR","Malaysia",0.6,3.41,3,0.16,"Non Ducted","Single Split System","Reverse Cycle"
"10097","PANASONIC","CS-F43DB4E5/CU-L43DBE5","China,Malaysia",3.64,2.18,2,3,"Non Ducted","Single Split System","Reverse Cycle"
"10106","SAMSUNG ELECTRONICS","CH070EAV1/UH070EAV1","China",2.12,1.8638,1.5,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"10107","MIDEA","MS9A-12HRDN1-QC8G","China",0.92,3.0214,3,0.31,"Non Ducted","Single Split System","Reverse Cycle"
"10111","MITSUBISHI ELECTRIC","SLZ-KA25VAL / SUZ-KA25VA","Thailand",0.69,2.4144,2,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"10112","MITSUBISHI ELECTRIC","SLZ-KA25VA / SUZ-KA25VA","Thailand",0.69,2.4144,2,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"10113","TECO","LA2304HS","China",1.89,1.5348,1.5,1.18,"Non Ducted","Window Wall","Reverse Cycle"
"10114","DAIKIN","FTKS35G / RKS35EB","Thailand,Japan",1.01,1.6198,1.5,1,"Non Ducted","Single Split System","Cooling Only"
"10119","MIDEA","MSG-21HRN1-QC2GP","China",1.94,2.241,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"10120","ONSEN","H12SF","China",0.93,2.389,2,0.608,"Non Ducted","Single Split System","Reverse Cycle"
"10121","MIDEA","MSC-12HRDN1-QC8G","China",0.88,3.0606,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"10122","MIDEA","MSC-24HRDN1-QC2GW","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"10128","MIDEA","MHD-36HRDN1-Q/MOU-36HDN1-Q","China",3.3,1.3122,1,2.14,"Ducted","Single Split System","Reverse Cycle"
"10129","MIDEA","MHD-42HRDN1-Q/MOU-42HDN1-Q","China",3.8,1.2266,1,2.97,"Ducted","Single Split System","Reverse Cycle"
"10130","Stirling","ASW-H24T4/SQCR1-AU","China",2.14,1.4847,1,1.15,"Non Ducted","Single Split System","Reverse Cycle"
"10131","Stirling","ASW-H22B4/SQCR1-AU","China",2.14,1.4847,1,1.15,"Non Ducted","Single Split System","Reverse Cycle"
"10134","DELONGHI","DEINV82AUP","China",2.55,1.5394,1.5,2.16,"Non Ducted","Single Split System","Reverse Cycle"
"10135","QFLOW","QFNMR18-410","China",1.6,2.0078,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"10136","Solar Air","SAC 5000","China",1.3,2.8078,2.5,1.38,"Non Ducted","Single Split System","Reverse Cycle"
"10137","MDV","MHA-48HRDN1-C2","China",4.6,1.442,1,3.54,"Ducted","Single Split System","Reverse Cycle"
"10138","PIONEER","HTE-155A1/HTIO-155D1","China",5.25,1.179,1,1.07,"Ducted","Single Split System","Reverse Cycle"
"10139","MIDEA","MSX24M3","China",2.12,2.0728,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"10141","MIDEA","MSC-28HRDN1-QC2GW","China",2.46,2.1304,2,2.1,"Non Ducted","Single Split System","Reverse Cycle"
"10146","MIDEA","MS1A-18HRFN1-QC6","China",1.51,2.0636,2,0.93,"Non Ducted","Single Split System","Reverse Cycle"
"10147","ELFA","ACF-35H","China",2.7,2.0088,2,3.42,"Non Ducted","Single Split System","Reverse Cycle"
"10152","MIDEA","MSC-12HRN1-QD0G","China",0.92,3.3644,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"10159","AUX","ASW-H24B4/SQCR1-AU","China",2.11,1.9268,1.5,1.333,"Non Ducted","Single Split System","Reverse Cycle"
"10160","CHIGO","CS-75V3A-XT","China",2.27,2.05700301392,2,2.25,"Non Ducted","Single Split System","Reverse Cycle"
"10161","MITSUBISHI ELECTRIC","MSZ-FB35VAH","Thailand",0.89,3.38,3,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"10162","MITSUBISHI ELECTRIC","MSZ-FB35VA","Thailand",0.89,3.38,3,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"10165","FUJITA","ASW-H12B4/SA(SQC)R1","China",0.98,2.4548,2,0.658,"Non Ducted","Single Split System","Reverse Cycle"
"10167","MIDEA","MDU-60HRFNQ-Q","China",4.48,2.032,2,2.69,"Ducted","Single Split System","Reverse Cycle"
"10170","MIDEA","MSC-09HRDN1-QD0G","China",0.67,3.2612,3,0.16,"Non Ducted","Single Split System","Reverse Cycle"
"10177","MIDEA","MSC-12HRDN1-QD0G(B)","China",0.93,3.0386,3,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"10180","ONSEN","H24SF","China",2,1.834,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"10182","Panasonic","CS-RE9JKR/CU-RE9JKR","China",0.7,2.3576,2,0.15,"Non Ducted","Single Split System","Reverse Cycle"
"10185","MITSUBISHI ELECTRIC","MSZ-GE80VA","Thailand",2.56,1.74,1.5,2,"Non Ducted","Single Split System","Reverse Cycle"
"10187","PLATINUM","H-3SP-7/ H-INV-7","China",2.09,2.02465770023,2,1.13,"Ducted","Single Split System","Reverse Cycle"
"10191","DAIKIN","FTXS46L / RXS46L","Thailand,Thailand",1.25,2.81066180561,2.5,1.36,"Non Ducted","Single Split System","Reverse Cycle"
"10192","Gree","GWH18MC-K3DNA3A","China",1.7,1.6842,1.5,1.319,"Non Ducted","Single Split System","Reverse Cycle"
"10210","Haier","HSU-18HEA03/R2(DB)-I","China",1.58,1.6072,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"10213","Gree","GWH24MD-K3DNA3A","China",2.08,1.624,1.5,1.548,"Non Ducted","Single Split System","Reverse Cycle"
"10214","MIDEA","MDU-24HRFNQ-Q","China",2.09,2.0246,2,1.13,"Ducted","Single Split System","Reverse Cycle"
"10218","AUSSIEAIR","ASW-H24A4/SQC-3","China",2.1,1.563,1.5,1.072,"Non Ducted","Single Split System","Reverse Cycle"
"10226","MIDEA","MSC-28HRN1-QC6GPW","China",2.25,2.2038,2,0.81,"Non Ducted","Single Split System","Reverse Cycle"
"10258","Panasonic","CS_CU-E24JKR","Malaysia",2.43,1.56,1.5,1.85,"Non Ducted","Single Split System","Reverse Cycle"
"10259","SAMSUNG ELECTRONICS","DH105EAV/UH105EAV","China",3.27,1.7878,1.5,2.35,"Ducted","Single Split System","Reverse Cycle"
"10281","HITACHI","RAS-60YHA2/RAC-60YHA2","Malaysia",1.84,1.7818,1.5,1.59,"Non Ducted","Single Split System","Reverse Cycle"
"10282","DAIKIN","FTXS60J / RXS60J","Thailand,Japan",1.96,1.217,1,1.52,"Non Ducted","Single Split System","Reverse Cycle"
"10283","DAIKIN","FTXS50J / RXS50J","Thailand",1.43,2.214,2,1.21,"Non Ducted","Single Split System","Reverse Cycle"
"10294","SAMSUNG ELECTRONICS","NS125HHXEA/RC125DHXEA","China",4.1,1.4174,1,0.8,"Ducted","Single Split System","Reverse Cycle"
"10296","PYE","ACP12","China",0.98,2.4524,2,0.668,"Non Ducted","Single Split System","Reverse Cycle"
"10297","ECLIPSE","EWF-12HRN1","China",1.15,2.0208,2,0.64,"Non Ducted","Window Wall","Reverse Cycle"
"10298","YORK","YUHC24DTBAAR-K-III","China",2.41,1.2574,1,0.49,"Ducted","Single Split System","Reverse Cycle"
"10301","DAIKIN","FTXS20K / RXS20K","Thailand",0.45,4.4668,4,0,"Non Ducted","Single Split System","Reverse Cycle"
"10304","Panasonic","CS_CU-E24MKR","Malaysia",2.11,2.039,2,1.77,"Non Ducted","Single Split System","Reverse Cycle"
"10305","MIDEA","MHD-60HWDN1-QC3/MOU-60HDN1-QC3","Australia,China",5.14,1.3666,1,1.88,"Ducted","Single Split System","Reverse Cycle"
"10329","MITSUBISHI ELECTRIC","SLZ-KA35VAL / SUZ-KA35VA","Thailand",1.06,1.9494,1.5,0.81,"Non Ducted","Single Split System","Reverse Cycle"
"10330","MITSUBISHI ELECTRIC","SLZ-KA35VA / SUZ-KA35VA","Thailand",1.06,1.9494,1.5,0.81,"Non Ducted","Single Split System","Reverse Cycle"
"10378","TCL","TAC-18CHSA/*I(*=A;C;D;E;F;G;H;J;K;L;M;N;Q;R;Y;V;Z;BD;BE;BF;BG;BH;BJ;BM;BK;BQ;BR;BV;BU;BY;BZ)","China",1.64,1.54,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"10398","AUX","ASW-H24A4/SQC-1","China",2.1,1,1,1.072,"Non Ducted","Single Split System","Reverse Cycle"
"10399","SAMSUNG ELECTRONICS","AQV09UWBN/AQV09UWBX","China",0.58,4.1506,4,0.1,"Non Ducted","Single Split System","Reverse Cycle"
"10400","SAMSUNG ELECTRONICS","AQV09UWAN/AQV09UWAX","China",0.58,4.1506,4,0.1,"Non Ducted","Single Split System","Reverse Cycle"
"10401","SAMSUNG ELECTRONICS","AQV30UWBN/AQV30UWBX","China",2.6,1.5896,1.5,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"10402","SAMSUNG ELECTRONICS","AQV30UWAN/AQV30UWAX","China",2.6,1.5896,1.5,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"10403","HITACHI","RAS-60YHA3/RAC-60YHA3","Malaysia",1.8,1.94604997689,1.5,1.6,"Non Ducted","Single Split System","Reverse Cycle"
"10404","Teco","LS3426H / LT3426HS","China",2.64,1.52,1.5,2.03,"Non Ducted","Single Split System","Reverse Cycle"
"10405","DAIKIN","FVXS25G / RXS25EB","Thailand",0.59,2.816,2.5,0.41,"Non Ducted","Single Split System","Reverse Cycle"
"10406","MDV","MWF-20HRN1","China",1.89,1.5348,1.5,1.19,"Non Ducted","Window Wall","Reverse Cycle"
"10407","AGEAN","ASC-24HRDNI","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"10408","MDV","MHD-36HRDN1-M3/MOU-36HDN1-M3","China",3.3,1.3122,1,2.14,"Ducted","Single Split System","Reverse Cycle"
"10409","MDV","MHD-60HWDN1-QC3","Australia,China",5.14,1.3666,1,1.88,"Ducted","Single Split System","Reverse Cycle"
"10410","MDV","MSC-12HRDN1-QC2","China",0.88,3.0606,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"10424","MIDEA","MSX18M3","China",1.54,2.0124,2,1.11,"Non Ducted","Single Split System","Reverse Cycle"
"10425","MIDEA","MS9A-18HRDN1-QC2G","China",1.54,2.036,2,1.09,"Non Ducted","Single Split System","Reverse Cycle"
"10426","MDV","MSG-35HRN1-M3","China",2.7,2.0088,2,3.42,"Non Ducted","Single Split System","Reverse Cycle"
"10427","MDV","MCC-48HRDN1-Q","China",4.57,1.3038,1,3.82,"Non Ducted","Single Split System","Reverse Cycle"
"10428","MIDEA","MS1A-09HRFN1-QE0","China",0.54,4.5356,4.5,0.07,"Non Ducted","Single Split System","Reverse Cycle"
"10429","MDV","MHA-60HRDN1-C2","China",5.25,1.179,1,1.07,"Ducted","Single Split System","Reverse Cycle"
"10430","PIONEER","HTE-070A1/HTIO-070A1","China",2.41,1.2574,1,0.49,"Ducted","Single Split System","Reverse Cycle"
"10431","QFLOW","QFNMR21-410","China",1.94,2.241,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"10432","MITSUBISHI ELECTRIC","SLZ-KA35VAQ/SUZ-KA35VA2","Thailand",1.04,2.0948,2,0.81,"Non Ducted","Single Split System","Reverse Cycle"
