"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"9190","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1","Thailand",0.44,4.37491974237,4,0.078,"Non Ducted","Single Split System","Reverse Cycle"
"9195","MITSUBISHI HEAVY INDUSTRIES LTD.","SRF50ZJX-S1","Thailand",1.39,2.61379848417,2.5,1.416,"Non Ducted","Single Split System","Reverse Cycle"
"9196","LG","R22AWN-NC11/R22AWN-UC11","""Korea, Republic of""",1.92,2.4131911684,2,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"9197","FUJITSU","ABTA30LBT","Thailand",2.57,2.171,2,1.71,"Non Ducted","Single Split System","Reverse Cycle"
"9198","FUJITSU","AUTA36LCLU","China,Thailand",2.94,2.2914,2,2.05,"Non Ducted","Single Split System","Reverse Cycle"
"9201","LG","UTN48WH/UU48WH","""Korea, Republic of""",4.15,1.87678929015,1.5,3.6,"Non Ducted","Single Split System","Reverse Cycle"
"9202","LG","UTN42WH/UU42WH","""Korea, Republic of""",3.8,2.0924202704,2,2.9,"Non Ducted","Single Split System","Reverse Cycle"
"9206","LG","UTN24WH/UU24WH","""Korea, Republic of""",2,2.36799343214,2,0.42,"Non Ducted","Single Split System","Reverse Cycle"
"9213","PROMA","PRO-80IM","China",2.46,2.1,2,2.114,"Non Ducted","Single Split System","Reverse Cycle"
"9214","PROMA","PRO-63M","China",1.94,2.05,2,1.357,"Non Ducted","Single Split System","Reverse Cycle"
"9215","PROMA","PRO-51M","China",1.57,2,2,1.332,"Non Ducted","Single Split System","Reverse Cycle"
"9216","LG","W07UCA-CB61","China",0.66,2.15559406894,2,0.1,"Non Ducted","Window Wall","Cooling Only"
"9217","KELVINATOR","KSV62HRC","China",1.71,2.654,2.5,1.723,"Non Ducted","Single Split System","Reverse Cycle"
"9218","KELVINATOR","KSV53HRC","China",1.45,2.618,2.5,1.791,"Non Ducted","Single Split System","Reverse Cycle"
"9219","KELVINATOR","KSV35CRC","China",0.91,3.1764,3,0.707,"Non Ducted","Single Split System","Cooling Only"
"9220","KELVINATOR","KSV70HRC","China",1.98,2.529,2.5,2.851,"Non Ducted","Single Split System","Reverse Cycle"
"9221","KELVINATOR","KSV26HRC","China",0.65,3.58,3.5,0.568,"Non Ducted","Single Split System","Reverse Cycle"
"9222","KELVINATOR","KSV26CRC","China",0.65,3.526,3.5,0.591,"Non Ducted","Single Split System","Cooling Only"
"9223","KELVINATOR","KSV70NRC","China",1.98,2.51317984169,2.5,2.791,"Non Ducted","Single Split System","Reverse Cycle"
"9224","KELVINATOR","KSV35NRC","China",0.86,3.78196768129,3.5,0.654,"Non Ducted","Single Split System","Reverse Cycle"
"9225","EE.GREEN","EEG - 7-0","China",1.95,2.53352229284,2.5,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"9226","KELVINATOR","KWH15CMC","China",0.51,1.99407114625,1.5,0.339,"Non Ducted","Window Wall","Cooling Only"
"9227","KELVINATOR","KWH53HRC","China",1.62,2.07200162424,2,1.2722,"Non Ducted","Window Wall","Reverse Cycle"
"9228","KELVINATOR","KWH53HRC","China",1.62,2.0505303749,2,1.3467,"Non Ducted","Window Wall","Cooling Only"
"9229","KELVINATOR","KSE70CRC","China",2.19,2.13578970584,2,1.5595,"Non Ducted","Single Split System","Cooling Only"
"9230","KELVINATOR","KSE88HRC","China",2.35,2.17674520482,2,2.155,"Non Ducted","Single Split System","Reverse Cycle"
"9231","KELVINATOR","KSE26CRC","China",0.75,3.10461267698,3,0.775,"Non Ducted","Single Split System","Cooling Only"
"9232","KELVINATOR","KSE62HRC","China",1.85,2.25064564286,2,1.7794,"Non Ducted","Single Split System","Reverse Cycle"
"9233","KELVINATOR","KSE70HRC","China",2.18,2.10738375134,2,2.7481,"Non Ducted","Single Split System","Reverse Cycle"
"9234","KELVINATOR","KSE35HRC","China",0.91,2.99249216335,2.5,0.945,"Non Ducted","Single Split System","Reverse Cycle"
"9235","KELVINATOR","KSE35CRC","China",0.91,2.91214875504,2.5,0.921,"Non Ducted","Single Split System","Cooling Only"
"9236","KELVINATOR","KWH62HRC","China",1.83,2.0448894045,2,1.336,"Non Ducted","Window Wall","Reverse Cycle"
"9237","KELVINATOR","KWH62CRC","China",1.83,2.00055815062,2,2.438,"Non Ducted","Window Wall","Cooling Only"
"9238","KELVINATOR","KWH26CRC","China",0.82,2.0992650126,2,0.517,"Non Ducted","Window Wall","Cooling Only"
"9239","KELVINATOR","KWH20CRC","China",0.67,2.12665223165,2,0.036,"Non Ducted","Window Wall","Cooling Only"
"9240","KELVINATOR","KWH39HRC","China",1.19,2.23444578653,2,0.946,"Non Ducted","Window Wall","Reverse Cycle"
"9241","KELVINATOR","KWH39CRC","China",1.19,2.20400138633,2,1.266,"Non Ducted","Window Wall","Cooling Only"
"9242","KELVINATOR","KWH26HRC","China",0.83,2.05680915464,2,0.616,"Non Ducted","Window Wall","Reverse Cycle"
"9243","KELVINATOR","KWH20HRC","China",0.67,2.06908186476,2,0.025,"Non Ducted","Window Wall","Reverse Cycle"
"9244","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S","Thailand",0.35,6.2334,6,0.002,"Non Ducted","Single Split System","Reverse Cycle"
"9245","MITSUBISHI HEAVY INDUSTRIES LTD.","DXK21Z4-S","Thailand",1.76,2.2604,2,1.423,"Non Ducted","Single Split System","Reverse Cycle"
"9246","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK63ZK-S","Thailand",1.76,2.2604,2,1.423,"Non Ducted","Single Split System","Reverse Cycle"
"9247","MITSUBISHI HEAVY INDUSTRIES LTD.","DXK24Z4-S","Thailand",2.16,1.631,1.5,1.88,"Non Ducted","Single Split System","Reverse Cycle"
"9248","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK71ZK-S","Thailand",2.16,1.631,1.5,1.88,"Non Ducted","Single Split System","Reverse Cycle"
"9249","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK50ZIX-S","Thailand",1.3,2.7568,2.5,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"9250","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK50ZJX-S","Thailand",1.3,2.7568,2.5,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"9251","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S","Thailand",0.49,5.2198,5,0.005,"Non Ducted","Single Split System","Reverse Cycle"
"9252","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK35ZJX-S","Thailand",0.85,3.3264,3,0.315,"Non Ducted","Single Split System","Reverse Cycle"
"9253","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK63ZEA-S1","Thailand",1.84,1.9862,1.5,1.3,"Non Ducted","Single Split System","Reverse Cycle"
"9254","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S","Thailand",0.35,6.334,6,0,"Non Ducted","Single Split System","Reverse Cycle"
"9255","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S","Thailand",0.44,4.1696,4,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"9256","MITSUBISHI HEAVY INDUSTRIES LTD.","FDT125VNXVD","Thailand",3.28,2.3116,2,1.449,"Non Ducted","Single Split System","Reverse Cycle"
"9258","Carrier","42LUVH055N-1+38LUVH055N-1","China",1.84,1.636,1.5,0.88,"Non Ducted","Single Split System","Reverse Cycle"
"9259","Carrier","42LUVH075N-1+38LUVH075N-1","China",2.37,1.7186,1.5,1.73,"Non Ducted","Single Split System","Reverse Cycle"
"9261","LG","W12UHM-MB61","China",1.14,2.0237,2,0.69,"Non Ducted","Window Wall","Reverse Cycle"
"9262","Dux","DUXHLS65","China",1.86,2.4353,2,0.49,"Non Ducted","Single Split System","Reverse Cycle"
"9263","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK10YL-S / SRC10YL-S","Thailand",0.67,2.9977,2.5,0.346,"Non Ducted","Single Split System","Cooling Only"
"9264","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK13YL-S / SRC13YL-S","Thailand",0.98,2.6984,2.5,0.668,"Non Ducted","Single Split System","Cooling Only"
"9265","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK80ZL-S / SRC80ZL-S","Thailand",2.35,2.2003,2,1.81,"Non Ducted","Single Split System","Reverse Cycle"
"9266","MITSUBISHI HEAVY INDUSTRIES LTD.","DXK28ZL-S / DXC28ZL-S","Thailand",2.35,2.2003,2,1.81,"Non Ducted","Single Split System","Reverse Cycle"
"9267","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK92ZL-S / SRC92ZL-S","Thailand",2.54,2.6894,2.5,2.49,"Non Ducted","Single Split System","Reverse Cycle"
"9269","Carrier","42LUVH045N-1+38LUVH045N-1","China",1.48,1.826,1.5,1.16,"Non Ducted","Single Split System","Reverse Cycle"
"9270","LG","W12UCM-MB61","China",1.13,2.0599,2,0.68,"Non Ducted","Window Wall","Cooling Only"
"9271","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK50ZJX-S1 / SRC50ZJX-S","Thailand",1.3,3.02,3,0.01,"Non Ducted","Single Split System","Reverse Cycle"
"9272","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK18YL-S / SRC18YL-S","Thailand",1.56,1.6667,1.5,1.487,"Non Ducted","Single Split System","Cooling Only"
"9273","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK60ZJX-S1 / SRC60ZJX-S","Thailand",1.86,1.9475,1.5,1.656,"Non Ducted","Single Split System","Reverse Cycle"
"9274","Dux","DUXHCS25","China",0.64,3.2612,3,0.16,"Non Ducted","Single Split System","Reverse Cycle"
"9275","Dux","DUXHCS34","China",0.89,3.0386,3,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"9276","Dux","DUXHCS64","China",1.87,2.2987,2,2.11,"Non Ducted","Single Split System","Reverse Cycle"
"9280","Carrier","42LUVH035N-1+38LUVH035N-1","China",0.88,2.5016,2.5,0.66,"Non Ducted","Single Split System","Reverse Cycle"
"9284","Carrier","42LUVH065N-1+38LUVH065N-1","China",2,1.6983,1.5,1.49,"Non Ducted","Single Split System","Reverse Cycle"
"9287","Dux","DUXHCS72","China",2.15,2.2244,2,2.16,"Non Ducted","Single Split System","Reverse Cycle"
"9290","Levante","LEV-ASF26A","China",0.71,3.0237,3,0.47,"Non Ducted","Single Split System","Reverse Cycle"
"9292","Levante","LEV-ASF35A","China",0.92,3.3644,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"9293","MITSUBISHI HEAVY INDUSTRIES LTD.","DXK32ZL-S / DXC32ZL-S","Thailand",2.54,2.6894,2.5,2.49,"Non Ducted","Single Split System","Reverse Cycle"
"9294","Levante","LEV-ASF75A","China",2.25,2.2039,2,0.81,"Non Ducted","Single Split System","Reverse Cycle"
"9295","GREE","GWH24ME-K3DNA3A","China",2.14,1.8482,1.5,1.89,"Non Ducted","Single Split System","Reverse Cycle"
"9297","Levante","LEV-ASF65A","China",1.92,2.1453,2,1.68,"Non Ducted","Single Split System","Reverse Cycle"
"9298","Levante","LEV-ASF50A","China",1.57,2.1183,2,0.98,"Non Ducted","Single Split System","Reverse Cycle"
"9300","Dux","DUXHLS34","China",0.87,3.1298,3,0.37,"Non Ducted","Single Split System","Reverse Cycle"
"9301","Dux","DUXHLS25","China",0.64,3.0246,3,0.24,"Non Ducted","Single Split System","Reverse Cycle"
"9302","FUJITSU","ASTG12JECB/AOTG12JECB","China",0.92,3.1709,3,1.23,"Non Ducted","Single Split System","Cooling Only"
"9303","FUJITSU","ASTG18JVCA/AOTG18JVCA","China",1.53,2.2184,2,1.78,"Non Ducted","Single Split System","Cooling Only"
"9304","FUJITSU","ASTG07JECB/AOTG07JECB","China",0.47,4.6049,4.5,0.68,"Non Ducted","Single Split System","Cooling Only"
"9305","FUJITSU","ASTG09JECB/AOTG09JECB","China",0.63,3.8385,3.5,0.89,"Non Ducted","Single Split System","Cooling Only"
"9308","KELVINATOR","KSV70HRC","China",1.98,2.5661,2.5,2.251,"Non Ducted","Single Split System","Reverse Cycle"
"9309","KELVINATOR","KSV70CRC","China",2,2.5867,2.5,2.3966,"Non Ducted","Single Split System","Cooling Only"
"9310","KELVINATOR","KSV26HRC","China",0.65,3.7425,3.5,0.582,"Non Ducted","Single Split System","Reverse Cycle"
"9311","KELVINATOR","KSV26CRC","China",0.65,3.7425,3.5,0.589,"Non Ducted","Single Split System","Cooling Only"
"9314","HITACHI","RAS/C-25YHA2","China",0.69,2.2332,2,0.32,"Non Ducted","Single Split System","Reverse Cycle"
