Appliance,Brand,Model.No,Country,CEC_,New.SRI,New.Star,Tot.Wat.Cons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value
Clothes Washer,SIMPSON,22S816K,Australia,690,2.043,2,108,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,AEG,W1030,Germany,365,2.71,2.5,72,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SIMPSON,45S551D,Italy,321,3.033,3,70.1,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,76730,Germany,219,4.29,4,61,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,W1450,Germany,168,4.63475,4.5,64.63,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,74620,Germany,253,3.79,3.5,58,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,W1230,Germany,180,4.43,4,72,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,62310,Germany,335,3.08,3,67,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,L76760,Germany,257,4.162,4,75.4,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,W830,Germany,169,4.33,4,71,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,WESTINGHOUSE,LF708C,"""Korea, Republic of""",226,4.1116,4,84,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,72630,Germany,218,4.16,4,63,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MEZZO,M5001T,China,460,1.74,1.5,144.7,5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,DAEWOO,DWF 450,"""Korea, Republic of""",484,1.2976,1,144,4.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,AEG,W80,Germany,206,3.87,3.5,70,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,W1050,Germany,171,4.45,4,60.76,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,DAEWOO,DWF 650,"""Korea, Republic of""",636,1.5123,1.5,184,6.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,DAEWOO,DWF 750,"""Korea, Republic of""",786,1.3723,1,227,7.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,HITACHI,SF-6000PX,"""Korea, Republic of""",709,1.09,1,161,6,Type,Non-Drum,Loading,Top,Machine Action,Impeller
