Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class
47952,SHARP,LC-46LE700X,Australia,Malaysia,117.0,5898.2,LCD (LED),0.18,17.2,0.5,89.5,6.0,6.787,331.0,Approved,2015-01-20,,
54004,VOXSON,VLCD32CT,"Australia,Fiji,New Zealand",China,80.0,2733.3,LCD,0.81,0.0,0.0,73.5,4.5,4.723,273.0,Approved,2015-09-30,,
46140,CHANGHONG,CHL2243AWH,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46140,CHANGHONG,CHL2243AC,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46140,CHANGHONG,CHL2243AB,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46140,CHANGHONG,CHL2243AA,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46140,CHANGHONG,CHL2243AF,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46140,CHANGHONG,CHL2243AS,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46140,CHANGHONG,CHL2243A,Australia,China,54.0,1281.04,LCD,0.92,0.0,0.0,47.56,4.0,4.15,179.0,Approved,2014-10-15,,
46219,CELESTIAL,LT4268TAH,Australia,China,106.0,4898.25,LCD,0.98,0.0,0.0,213.0,2.0,2.192,783.0,Approved,2014-11-01,,
46219,CELESTIAL,LT4268TAC,Australia,China,106.0,4898.25,LCD,0.98,0.0,0.0,213.0,2.0,2.192,783.0,Approved,2014-11-01,,
46219,CELESTIAL,LT4268TAB,Australia,China,106.0,4898.25,LCD,0.98,0.0,0.0,213.0,2.0,2.192,783.0,Approved,2014-11-01,,
46219,CELESTIAL,LT4268TAA,Australia,China,106.0,4898.25,LCD,0.98,0.0,0.0,213.0,2.0,2.192,783.0,Approved,2014-11-01,,
46219,CELESTIAL,LT4268TA,Australia,China,106.0,4898.25,LCD,0.98,0.0,0.0,213.0,2.0,2.192,783.0,Approved,2014-11-01,,
46236,RANK ARENA,RALD81HDC,"Australia,New Zealand",China,80.0,2743.66,LCD,1.25,1.25,0.167,102.1,3.0,3.255,380.0,Approved,2014-10-07,,
55587,Metz,Primus 42 LED 200 twin R,"Australia,New Zealand",Germany,107.0,4863.9,LCD (LED),0.9,45.0,0.5,136.0,4.0,4.086,510.0,Approved,2016-02-06,,
52056,Kogan,KGN1080P46VDA,Australia,China,116.0,5830.2,LCD,0.705,0.705,0.0,211.0,2.5,2.928,775.0,Approved,2015-09-12,,
52056,Kogan,KGN1080P46VCA,Australia,China,116.0,5830.2,LCD,0.705,0.705,0.0,211.0,2.5,2.928,775.0,Approved,2015-09-12,,
52056,Kogan,KGN1080P46VBA,Australia,China,116.0,5830.2,LCD,0.705,0.705,0.0,211.0,2.5,2.928,775.0,Approved,2015-09-12,,
52056,Kogan,KGN1080P46VAA,Australia,China,116.0,5830.2,LCD,0.705,0.705,0.0,211.0,2.5,2.928,775.0,Approved,2015-09-12,,
52055,Kogan,KGN1080P40VDA,Australia,China,101.0,4450.0,LCD (LED),0.75,0.0,0.0,113.0,4.5,4.642,417.0,Approved,2015-09-12,,
52055,Kogan,KGN1080P40VCA,Australia,China,101.0,4450.0,LCD (LED),0.75,0.0,0.0,113.0,4.5,4.642,417.0,Approved,2015-09-12,,
52055,Kogan,KGN1080P40VBA,Australia,China,101.0,4450.0,LCD (LED),0.75,0.0,0.0,113.0,4.5,4.642,417.0,Approved,2015-09-12,,
52055,Kogan,KGN1080P40VAA,Australia,China,101.0,4450.0,LCD (LED),0.75,0.0,0.0,113.0,4.5,4.642,417.0,Approved,2015-09-12,,
46074,CELESTIAL,LT1999DV,Australia,China,48.0,1049.6,LCD,0.72,0.0,0.0,43.23,4.0,4.041,162.0,Approved,2014-10-13,,
46074,CELESTIAL,LT1999DVH,Australia,China,48.0,1049.6,LCD,0.72,0.0,0.0,43.23,4.0,4.041,162.0,Approved,2014-10-13,,
46074,CELESTIAL,LT1999DVB,Australia,China,48.0,1049.6,LCD,0.72,0.0,0.0,43.23,4.0,4.041,162.0,Approved,2014-10-13,,
46074,CELESTIAL,LT1999DVA,Australia,China,48.0,1049.6,LCD,0.72,0.0,0.0,43.23,4.0,4.041,162.0,Approved,2014-10-13,,
46074,CELESTIAL,LT1999DVF,Australia,China,48.0,1049.6,LCD,0.72,0.0,0.0,43.23,4.0,4.041,162.0,Approved,2014-10-13,,
46074,CELESTIAL,LT1999DVS,Australia,China,48.0,1049.6,LCD,0.72,0.0,0.0,43.23,4.0,4.041,162.0,Approved,2014-10-13,,
46178,CELESTIAL,LT1522HDA,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1522HDF,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1522HDS,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1522HD,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
