Appliance,Brand,Model.No,CEC,SRI,Star,Cap,Normalised cap,Durability,Cost,Total Defence
Clothes Dryer,ASKO,T754C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,ASKO,T784C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,ASKO,T794C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,Smeg,SACD8,350,2.180172066,2,8,4,3,5.5,
Clothes Dryer,Smeg,SAWD814,147,5.212478024,5,5.5,2.5,3,6.47,
Clothes Dryer,LG,WD12595FD6,311,2.509990391,2.5,7.5,4,3,5.61,
Clothes Washer,SMEG,S850,417,3.2,3,7.5,3.5,3,7.17,
Clothes Washer,SMEG,S800,419,3.12,3,7.5,3.5,3,7.19,
Clothes Washer,HITACHI,HWF-1200X,226,4,4,7,3,3,6.26,
Clothes Washer,TECHNIKA,TFLE1200,402,3.0652,3,7,3,3,7.02,
Clothes Washer,AEG,LL1600,257,4.162,4,7,3,3,6.57,
Clothes Washer,TELMANN,TEL85TL,824,1.61,1.5,8.5,4,3,9.74,
Clothes Washer,TELMANN,XQJ85-97,824,1.61,1.5,8.5,4,3,9.74,
Clothes Washer,LG,WT-H555TH,654,1.09528053,1,5.5,2,3,7.54,
Clothes Washer,LG,WF-T506,546,1.31995807,1,5,2,3,6.46,
Clothes Washer,LG,WT-H755TH,847,1.2380709,1,7.5,3.5,3,9.47,
Clothes Washer,LG,WF-T656,726,1.2527008,1,6.5,3,3,8.26,
Clothes Washer,AEG,L50600,165,4.2996,4,5.5,2,3,5.65,
Clothes Washer,LG,WD-1018C,221,4.52,4.5,7.5,3.5,3,6.71,
Clothes Washer,LG,WD-1049C,221,4.52,4.5,7.5,3.5,3,6.71,
Clothes Washer,AEG,L86800,261,4.1323,4,7,3,3,6.61,
Clothes Washer,AEG,L74800,219,4.0697,4,6,2.5,3,6.19,
Clothes Washer,MAYTAG,MAV3700***,678,1.805172,1.5,7.5,3.5,3,8.28,
Clothes Washer,LG,WD-1256RD,238,4.9192526,4.5,10,5,3,6.88,
Clothes Washer,LG,WD-1255RD,238,4.9192526,4.5,10,5,3,6.88,
Clothes Washer,RANK ARENA,RATLW7,1095,0.26,1,7,3,3,11.95,
Clothes Washer,INDESIT,WIL82,299,3.4138,3,6.5,3,3,5.99,
Clothes Washer,INDESIT,WI82 (AUS),299,3.4138,3,6.5,3,3,5.99,
Clothes Washer,ELECTROLUX,EWF1495,371,3.682,3.5,8,4,3,7.21,
Clothes Washer,ELECTROLUX,EW1280F,266,3.953,3.5,6.5,3,3,6.16,
